Model,Weights,MAP,TF-IDF Weight,BM25 Weight,Embedding Weight
finetuned,"(0.6, 0.2, 0.2)",0.05406564732208454,0.6,0.2,0.2
finetuned,"(0.7, 0.2, 0.1)",0.05223583752971832,0.7,0.2,0.1
finetuned,"(0.8, 0.2, 0.0)",0.05218205361899426,0.8,0.2,0.0
finetuned,"(0.0, 0.3, 0.7)",0.05732258963029452,0.0,0.3,0.7
finetuned,"(0.1, 0.3, 0.6)",0.05745053924423698,0.1,0.3,0.6
finetuned,"(0.2, 0.3, 0.5)",0.05748307107997188,0.2,0.3,0.5
finetuned,"(0.3, 0.3, 0.4)",0.05653002724093476,0.3,0.3,0.4
finetuned,"(0.4, 0.3, 0.3)",0.0558989975415657,0.4,0.3,0.3
finetuned,"(0.5, 0.3, 0.2)",0.05347202307274018,0.5,0.3,0.2
finetuned,"(0.6, 0.3, 0.1)",0.05250964459171733,0.6,0.3,0.1
finetuned,"(0.7, 0.3, 0.0)",0.051883941480027444,0.7,0.3,0.0
finetuned,"(0.0, 0.4, 0.6)",0.05601317189512648,0.0,0.4,0.6
finetuned,"(0.1, 0.4, 0.5)",0.057272859466867374,0.1,0.4,0.5
finetuned,"(0.2, 0.4, 0.4)",0.05672039703940664,0.2,0.4,0.4
finetuned,"(0.3, 0.4, 0.3)",0.05590114080498122,0.3,0.4,0.3
finetuned,"(0.4, 0.4, 0.2)",0.05519523997140936,0.4,0.4,0.2
finetuned,"(0.5, 0.4, 0.1)",0.05359239015113045,0.5,0.4,0.1
finetuned,"(0.6, 0.4, 0.0)",0.05257476761808997,0.6,0.4,0.0
finetuned,"(0.0, 0.5, 0.5)",0.05562722998453557,0.0,0.5,0.5
finetuned,"(0.1, 0.5, 0.4)",0.0561837289839155,0.1,0.5,0.4
finetuned,"(0.2, 0.5, 0.3)",0.05509778280423603,0.2,0.5,0.3
finetuned,"(0.3, 0.5, 0.2)",0.055149171824676706,0.3,0.5,0.2
finetuned,"(0.4, 0.5, 0.1)",0.054734849339614935,0.4,0.5,0.1
finetuned,"(0.5, 0.5, 0.0)",0.05298100720218981,0.5,0.5,0.0
finetuned,"(0.0, 0.6, 0.4)",0.054124725464122725,0.0,0.6,0.4
finetuned,"(0.1, 0.6, 0.3)",0.05496758068518452,0.1,0.6,0.3
finetuned,"(0.2, 0.6, 0.2)",0.05466606587810567,0.2,0.6,0.2
finetuned,"(0.3, 0.6, 0.1)",0.05601504534015741,0.3,0.6,0.1
finetuned,"(0.4, 0.6, 0.0)",0.05360318099184925,0.4,0.6,0.0
finetuned,"(0.0, 0.7, 0.3)",0.05392068350957547,0.0,0.7,0.3
finetuned,"(0.1, 0.7, 0.2)",0.05416262780577079,0.1,0.7,0.2
finetuned,"(0.2, 0.7, 0.1)",0.05416341501861336,0.2,0.7,0.1
finetuned,"(0.3, 0.7, 0.0)",0.05517497893242858,0.3,0.7,0.0
finetuned,"(0.0, 0.8, 0.2)",0.05337049167791565,0.0,0.8,0.2
finetuned,"(0.1, 0.8, 0.1)",0.05431066889933724,0.1,0.8,0.1
finetuned,"(0.2, 0.8, 0.0)",0.05412741505385292,0.2,0.8,0.0
finetuned,"(0.0, 0.9, 0.1)",0.05259970845383551,0.0,0.9,0.1
finetuned,"(0.1, 0.9, 0.0)",0.053549910243703994,0.1,0.9,0.0
